Week number,Week ended,<1,1-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+
1,3-Jan-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,10-Jan-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,17-Jan-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,24-Jan-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,31-Jan-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,7-Feb-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,14-Feb-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,21-Feb-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,28-Feb-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,6-Mar-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1
11,13-Mar-20,0,0,0,0,0,0,0,0,0,1,0,0,1,4,5,6,2,7,8,7
12,20-Mar-20,0,0,0,0,0,1,2,0,0,2,7,16,13,20,28,37,47,73,84,69
13,27-Mar-20,0,0,0,0,2,1,3,12,9,10,26,41,76,93,131,216,289,347,333,269
14,3-Apr-20,0,0,0,0,3,5,6,13,15,28,72,96,201,277,367,591,807,1006,857,789
15,10-Apr-20,0,0,0,1,1,2,13,10,28,52,88,171,264,432,531,858,1210,1554,1518,1418
16,17-Apr-20,0,1,0,0,2,3,6,10,25,44,71,153,244,361,486,779,1077,1544,1711,1690
17,24-Apr-20,0,0,0,0,0,4,8,12,15,34,53,115,212,254,343,571,832,1312,1451,1619
18,1-May-20,0,0,0,0,0,3,2,9,10,14,41,73,116,161,261,385,656,973,1098,1321
19,8-May-20,1,0,0,0,0,3,3,3,8,15,23,46,81,133,175,333,463,699,887,1026
20,15-May-20,1,0,0,0,1,0,2,4,5,13,17,27,61,78,123,191,340,527,627,749
21,22-May-20,0,0,0,1,0,0,0,2,0,8,17,22,37,65,64,154,235,360,478,540
