Week number,Week ended,<1,1-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+
1,3-Jan-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,10-Jan-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,17-Jan-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,24-Jan-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,31-Jan-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,7-Feb-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,14-Feb-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,21-Feb-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,28-Feb-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,6-Mar-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
11,13-Mar-20,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,2,1,1,1,2
12,20-Mar-20,0,0,0,0,0,1,1,0,0,1,5,8,5,9,11,13,16,33,39,36
13,27-Mar-20,0,0,0,0,1,1,2,3,4,2,13,14,27,30,45,75,97,122,147,127
14,3-Apr-20,0,0,0,0,2,2,3,5,4,11,30,32,76,87,115,188,281,367,340,400
15,10-Apr-20,0,0,0,1,0,0,5,6,10,20,29,69,83,143,181,294,432,601,622,779
16,17-Apr-20,0,1,0,0,0,2,2,2,12,14,23,64,75,122,163,263,400,647,823,984
17,24-Apr-20,0,0,0,0,0,1,3,5,9,10,18,33,67,81,111,205,335,615,689,980
18,1-May-20,0,0,0,0,0,1,0,3,5,4,19,30,33,61,91,141,277,437,571,813
19,8-May-20,0,0,0,0,0,1,0,3,3,8,7,20,25,31,59,123,187,316,496,657
20,15-May-20,0,0,0,0,1,0,0,2,2,6,7,5,17,32,49,67,136,237,339,485
21,22-May-20,0,0,0,0,0,0,0,0,0,4,5,6,13,24,31,54,104,172,249,364
