Week number,Week ended,<1,1-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+
1,3-Jan-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,10-Jan-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,17-Jan-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,24-Jan-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,31-Jan-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,7-Feb-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,14-Feb-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,21-Feb-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,28-Feb-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,6-Mar-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
11,13-Mar-20,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4,1,6,7,5
12,20-Mar-20,0,0,0,0,0,0,1,0,0,1,2,8,8,11,17,24,31,40,45,33
13,27-Mar-20,0,0,0,0,1,0,1,9,5,8,13,27,49,63,86,141,192,225,186,142
14,3-Apr-20,0,0,0,0,1,3,3,8,11,17,42,64,125,190,252,403,526,639,517,389
15,10-Apr-20,0,0,0,0,1,2,8,4,18,32,59,102,181,289,350,564,778,953,896,639
16,17-Apr-20,0,0,0,0,2,1,4,8,13,30,48,89,169,239,323,516,677,897,888,706
17,24-Apr-20,0,0,0,0,0,3,5,7,6,24,35,82,145,173,232,366,497,697,762,639
18,1-May-20,0,0,0,0,0,2,2,6,5,10,22,43,83,100,170,244,379,536,527,508
19,8-May-20,1,0,0,0,0,2,3,0,5,7,16,26,56,102,116,210,276,383,391,369
20,15-May-20,1,0,0,0,0,0,2,2,3,7,10,22,44,46,74,124,204,290,288,264
21,22-May-20,0,0,0,1,0,0,0,2,0,4,12,16,24,41,33,100,131,188,229,176
