Week number,Week ended,North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East,London,South East,South West,Wales
1,3-Jan-20,0,0,0,0,0,0,0,0,0,0
2,10-Jan-20,0,0,0,0,0,0,0,0,0,0
3,17-Jan-20,0,0,0,0,0,0,0,0,0,0
4,24-Jan-20,0,0,0,0,0,0,0,0,0,0
5,31-Jan-20,0,0,0,0,0,0,0,0,0,0
6,7-Feb-20,0,0,0,0,0,0,0,0,0,0
7,14-Feb-20,0,0,0,0,1,0,0,0,0,0
8,21-Feb-20,0,0,0,0,0,0,0,0,0,0
9,28-Feb-20,0,0,0,0,0,0,0,0,0,0
10,6-Mar-20,0,0,0,0,0,1,2,2,0,0
11,13-Mar-20,0,5,0,2,10,3,17,3,1,0
12,20-Mar-20,4,36,11,19,57,13,164,63,15,15
13,27-Mar-20,42,167,60,95,255,147,714,239,61,72
14,3-Apr-20,215,643,288,290,720,479,1492,578,224,190
15,10-Apr-20,408,1102,594,538,902,746,1931,1087,448,383
16,17-Apr-20,400,1327,683,557,908,830,1483,1112,484,406
17,24-Apr-20,362,1085,677,480,726,667,966,1068,454,342
18,1-May-20,329,769,581,415,552,539,521,785,376,253
19,8-May-20,282,653,454,321,421,369,388,528,269,209
20,15-May-20,189,455,330,238,288,296,218,455,152,143
21,22-May-20,182,328,232,186,225,202,138,280,101,109
