Week number,Week ended,<1,1-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+
1,3-Jan-20,18,3,2,3,1,4,10,11,22,26,53,102,170,211,281,467,709,996,1359,1916
2,10-Jan-20,21,5,4,2,8,9,9,18,22,33,77,123,167,249,348,580,800,1118,1466,2170
3,17-Jan-20,31,3,1,1,5,4,6,18,28,46,83,106,166,224,332,520,726,1023,1304,1933
4,24-Jan-20,25,3,0,4,1,7,5,16,34,37,70,99,166,201,309,504,655,912,1174,1716
5,31-Jan-20,28,2,1,1,6,7,9,18,31,42,56,98,135,201,295,513,618,892,1154,1711
6,7-Feb-20,16,3,2,0,2,11,12,14,18,40,62,114,163,206,266,494,645,823,1097,1590
7,14-Feb-20,14,2,1,1,7,7,8,13,33,34,66,116,136,203,241,453,579,834,1044,1665
8,21-Feb-20,19,0,2,5,6,4,12,21,31,45,77,92,151,226,295,450,560,802,1021,1582
9,28-Feb-20,19,1,2,2,8,6,7,18,34,39,60,114,158,208,265,464,546,842,1059,1528
10,6-Mar-20,25,4,1,5,8,7,12,20,27,35,62,105,138,203,291,444,600,860,1037,1550
11,13-Mar-20,29,8,2,4,5,13,9,14,32,40,70,92,155,204,261,443,618,834,1016,1598
12,20-Mar-20,19,0,3,1,4,5,9,16,19,37,61,87,161,188,282,465,610,802,997,1482
13,27-Mar-20,22,5,0,3,4,6,11,15,31,30,66,89,146,236,276,440,609,845,1032,1545
14,3-Apr-20,25,6,3,5,2,8,10,15,31,39,96,132,195,280,382,651,876,1256,1495,2086
15,10-Apr-20,10,3,1,3,3,4,12,15,48,49,101,165,226,304,443,699,967,400,738,2377
16,17-Apr-20,27,2,3,3,8,5,12,20,36,55,95,199,245,354,481,828,182,740,2333,3278
17,24-Apr-20,21,2,0,1,6,14,11,27,36,59,104,164,232,349,453,770,127,765,2264,3364
18,1-May-20,18,3,0,3,3,7,17,24,38,43,87,152,203,272,392,638,950,432,926,2888
19,8-May-20,12,3,1,3,4,7,7,15,26,27,67,107,152,197,316,490,661,987,352,2014
20,15-May-20,22,5,1,2,5,3,10,9,30,50,81,111,198,266,339,559,733,141,514,2251
21,22-May-20,25,1,1,2,4,4,10,21,28,50,74,102,162,237,300,459,681,952,242,836
