Week number,Week ended,Home,Hospital (acute or community; not psychiatric),Hospice,Care Home,Other communal establishment,Elsewhere
11,13-Mar-20,2725,4975,553,2471,44,249
12,20-Mar-20,2709,4770,551,2335,43,238
13,27-Mar-20,2786,5105,504,2489,33,225
14,3-Apr-20,3865,7884,544,3769,53,272
15,10-Apr-20,4117,8578,510,4927,83,301
16,17-Apr-20,4570,9434,574,7316,118,339
17,24-Apr-20,4834,8243,556,7911,134,319
18,1-May-20,4268,6397,492,6409,89,298
19,8-May-20,3195,4451,441,4248,59,263
20,15-May-20,3781,5429,536,4461,71,295
21,22-May-20,3529,4611,483,3350,46,269
