Week number,Week ended,<1,1-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+
1 ,3-Jan-20,30,5,2,1,5,7,7,21,32,43,62,137,191,275,415,697,826,1053,1098,982
2 ,10-Jan-20,29,4,4,7,8,14,28,28,46,52,114,156,259,355,509,761,924,1172,1231,1127
3 ,17-Jan-20,38,4,4,3,5,21,31,29,49,72,106,200,295,338,471,690,886,1080,1117,991
4 ,24-Jan-20,28,6,4,4,14,23,31,22,45,79,90,181,215,334,482,663,819,951,1014,910
5 ,31-Jan-20,22,4,4,3,17,16,19,40,45,58,107,180,247,324,437,683,827,919,970,872
6 ,7-Feb-20,14,5,2,4,8,23,11,24,53,55,95,175,208,306,423,626,713,875,943,843
7 ,14-Feb-20,29,4,1,3,9,19,19,27,52,58,99,172,209,287,400,660,726,870,995,852
8,21-Feb-20,32,5,4,2,14,14,17,39,46,72,105,140,195,285,400,598,778,894,906,893
9,28-Feb-20,30,6,4,5,16,19,21,32,51,64,95,147,189,286,417,647,709,871,956,870
10,6-Mar-20,31,7,1,2,13,16,27,33,45,69,93,153,220,278,388,646,725,938,932,841
11,13-Mar-20,24,5,1,2,13,26,20,41,48,50,109,168,246,296,424,625,748,904,935,885
12,20-Mar-20,25,2,3,3,11,17,22,25,47,63,99,158,229,281,404,629,763,892,905,820
13,27-Mar-20,27,3,1,1,8,11,22,40,40,65,97,146,235,286,423,666,788,1005,984,883
14,3-Apr-20,26,2,2,3,7,12,22,39,36,67,124,244,336,453,662,1039,1303,1570,1520,1327
15,10-Apr-20,28,3,3,1,5,12,29,30,60,65,148,247,372,548,706,1098,1451,1795,1826,1521
16,17-Apr-20,24,4,2,1,12,12,28,32,56,77,147,229,434,591,791,1280,1635,2100,2111,1879
17,24-Apr-20,33,4,3,2,5,11,23,39,62,111,175,274,407,578,795,1220,1614,2007,2085,1780
18,1-May-20,30,5,0,0,11,11,23,35,60,73,148,235,347,453,631,940,1205,1555,1588,1507
19,8-May-20,16,3,3,7,5,11,18,18,33,62,98,160,255,334,447,682,867,1112,1089,989
20,15-May-20,34,5,4,2,8,16,23,31,48,54,114,192,279,402,515,775,1013,1280,1291,1157
21,22-May-20,26,3,4,5,9,14,24,29,49,97,101,190,265,350,435,689,811,1011,1041,944
