Week number,Week ended,North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East,London,South East,South West,Wales
1,3-Jan-20,673,1806,1240,1060,1349,1162,1113,1814,1225,787
2,10-Jan-20,707,1932,1339,1195,1450,1573,1272,2132,1487,939
3,17-Jan-20,647,1696,1278,1106,1407,1457,1073,2064,1466,767
4,24-Jan-20,612,1529,1187,1024,1231,1410,1028,1833,1253,723
5,31-Jan-20,561,1461,1136,1015,1262,1286,1092,1820,1233,727
6,7-Feb-20,564,1529,1072,922,1052,1259,987,1729,1157,690
7,14-Feb-20,573,1427,1059,976,1159,1172,967,1688,1169,728
8,21-Feb-20,539,1477,1087,924,1116,1167,1032,1675,1118,679
9,28-Feb-20,572,1476,1078,919,1174,1115,1085,1587,1133,651
10,6-Mar-20,568,1490,1112,930,1098,1149,982,1726,1170,652
11,13-Mar-20,590,1472,1053,915,1187,1211,964,1751,1174,675
12,20-Mar-20,522,1443,1012,947,1115,1043,1008,1657,1156,719
13,27-Mar-20,542,1538,982,922,1035,1182,1297,1822,1092,719
14,3-Apr-20,770,2137,1436,1246,1812,1717,2511,2294,1520,920
15,10-Apr-20,849,2597,1503,1452,2182,1984,2832,2604,1560,928
16,17-Apr-20,1155,3195,1960,1632,2536,2466,3275,3084,1854,1169
17,24-Apr-20,1103,3109,2095,1711,2481,2299,2785,3334,1924,1124
18,1-May-20,922,2503,1844,1418,1975,1982,1953,2853,1554,929
19,8-May-20,769,1790,1328,1094,1326,1321,1213,1887,1218,692
20,15-May-20,845,1992,1589,1283,1502,1543,1329,2251,1449,772
21,22-May-20,718,1636,1236,1041,1319,1397,1125,1937,1177,692
