Age,Total,Males,Females
  0-4,3800565,1948081,1852484
  5-9,4152513,2127402,2025111
 10-14,4049485,2074354,1975131
 15-19,3675611,1887014,1788597
 20-24,4117942,2120472,1997470
 25-29,4490211,2285672,2204539
 30-34,4535205,2271933,2263272
 35-39,4417692,2188742,2228950
 40-44,4098574,2033765,2064809
 45-49,4311543,2130090,2181453
 50-54,4617991,2271111,2346880
 55-59,4513700,2217739,2295961
 60-64,3862284,1891604,1970680
 65-69,3362755,1628254,1734501
 70-74,3368899,1609408,1759491
 75-79,2412183,1119629,1292554
 80-84,1737847,765274,972573
 85-89,1058423,424732,633691
 90-94,469395,161768,307627
 95 & over,142951,37175,105776
